"","Treatment","Metric","n","DC","DC_scaled","mean_effect","tau2","tau","I2","Q","Q_p"
"42","Flow reduction
× Fine sediment addition
× N/P addition","EPT (number taxa)",4,1,-1,-0.950311038346296,0,0,0,0.898365616464268,0.825822205445477
"43","Flow reduction
× Fine sediment addition
× N/P addition","Fast/Slow flow (adapt., ratio)",4,0.958463106483923,-0.916926212967846,-2.73701449324629,7.5271552209687,2.74356615028118,90.0747180500895,22.1728267485024,6.00466742888054e-05
"44","Flow reduction
× Fine sediment addition
× N/P addition","% Lotic",4,0.95386694454027,-0.90773388908054,-2.81560505936428,8.02461049354257,2.83277434567997,90.3043159463619,23.30164795879,3.49388528698884e-05
"45","Flow reduction
× Fine sediment addition
× N/P addition","% Gill breather",4,0.476615002153293,0.0467699956934132,0.0346561654438029,5.6041546004257,2.3673095700448,90.8788795415176,17.4987824219745,0.000557963575601785
"46","Flow reduction
× Fine sediment addition
× N/P addition","Gils/Tegument (ratio)",4,0.587255050432963,-0.174510100865926,-0.202699547721119,3.78063321709074,1.94438504856696,88.0445133335657,15.4871093000791,0.0014443333029037
"47","Flow reduction
× Fine sediment addition
× N/P addition","Non EPT fast flow (adapt., rel. abd.)",4,0.827243162675418,-0.654486325350836,-0.749591775331138,1.87606662079601,1.36969581323592,80.4488812224806,13.2655489605024,0.00409615520285147
"48","Flow reduction
× Fine sediment addition
× N/P addition","% Scraper",4,0.407270892964858,0.185458214070283,0.151318890902919,2.46900340823711,1.57130627448538,84.1050745254627,13.221988519597,0.00418032717913956
"49","Flow reduction
× Fine sediment addition
× N/P addition","Slow flow adapt. (rel. abundance)",4,0.0461330554597298,0.90773388908054,2.81560505936428,8.02461049354257,2.83277434567997,90.3043159463619,23.30164795879,3.49388528698883e-05
"50","Flow reduction
× Fine sediment addition
× N/P addition","Tot. richness",4,1,-1,-0.601314796953675,0,0,0,1.40470679627944,0.704431803773698
"51","Flow reduction
× Fine sediment addition
× N/P addition","Tagument (rel. abundance)",4,0.523962116365336,-0.0479242327306713,-0.0289142141640278,5.71205979813796,2.38999158955381,91.0170644605934,17.4027891351297,0.000583947527813076
"52","Flow reduction
× Fine sediment addition
× N/P addition","Tot. abundance",4,1,-1,-0.804291815099934,0.0589603200596939,0.242817462427425,13.3950190377687,3.23532846248428,0.35674561783887
"53","Flow reduction","EPT (abundance)",9,0.637780596027839,-0.275561192055678,-0.248138781898358,0.190090028421727,0.435993151805997,35.7015589131739,13.082747137104,0.109034080676894
"54","Flow reduction","% EPT",9,0.78784136307085,-0.5756827261417,-0.461178178043369,0.554591245387682,0.744708832623651,60.2266889824922,19.3638176623686,0.013030483680321
"55","Flow reduction","EPT (number taxa)",9,0.550268209493692,-0.100536418987384,-0.188600861199435,0.175801388106251,0.419286761186484,33.7422982292077,13.7617363148061,0.0881909775008342
"56","Flow reduction","Fast/Slow flow (adapt., ratio)",9,0.682847708477896,-0.365695416955791,-0.264932725391249,1.23900157395009,1.11310447575692,76.1545349878993,26.8681176187581,0.000745023846969944
"57","Flow reduction","% Lotic",9,0.677007515932275,-0.354015031864551,-0.256241537017795,1.17672296627285,1.08476862338143,75.2943423010754,26.4029066247654,0.000895859786604238
"58","Flow reduction","% Gill breather",9,0.592739125541559,-0.185478251083119,-0.241592549743092,1.26627622917567,1.12528939796644,76.2360854492271,28.1212285348879,0.000451738299367106
"59","Flow reduction","Gils/Tegument (ratio)",9,0.614881506676136,-0.229763013352271,-0.267931362301265,1.29171268422674,1.13653538626245,76.5523636786338,28.1761662640904,0.000441885250236115
"60","Flow reduction","Non EPT fast flow (adapt., rel. abd.)",9,0.586005511657438,-0.172011023314875,-0.154624708447283,1.54858329397026,1.24442086689764,79.3575317843671,30.9272813400297,0.000144752279166421
"61","Flow reduction","% Scraper",9,0.275110232220246,0.449779535559509,0.312769451822157,0.639089848400131,0.799430952865932,63.5445159889163,20.8288545791277,0.00761622741357429
"62","Flow reduction","Slow flow adapt. (rel. abundance)",9,0.322992484067725,0.354015031864551,0.256241537017796,1.17672296627286,1.08476862338144,75.2943423010755,26.4029066247655,0.000895859786604201
"63","Flow reduction","Tot. richness",9,0.591167986209177,-0.182335972418354,-0.0577567949538954,0,0,0,4.72571289818517,0.786449574557076
"64","Flow reduction","Tagument (rel. abundance)",9,0.397250411415304,0.205499177169393,0.254024117057326,1.28001978767564,1.13137959486445,76.451697681734,27.5280035776117,0.000572840322999496
"65","Flow reduction","Tot. abundance",9,0.365317417027075,0.26936516594585,0.172279532329251,0.1251908754644,0.353823226293018,27.1565180262773,11.6024008868663,0.169844734798328
"66","N/P addition","EPT (abundance)",9,0.899487263888952,-0.798974527777904,-0.357349571193624,0,0,0,4.55300237706096,0.804107260329697
"67","N/P addition","% EPT",9,0.883848818850953,-0.767697637701906,-0.410850275147784,1.69742675083042e-06,0.00130285331132496,0.000465683766590545,7.49559620002704,0.484222612094254
"68","N/P addition","EPT (number taxa)",9,0.485253845649752,0.0294923087004969,0.0792600374520106,0.0962626306481176,0.310262196614601,21.1464459389632,10.6316401193678,0.223456882184926
"69","N/P addition","Fast/Slow flow (adapt., ratio)",9,0.881196186763636,-0.762392373527272,-0.672340149286988,0.0639916272503812,0.252965664172791,14.2426951255554,9.48633445627034,0.302942824428798
"70","N/P addition","% Lotic",9,0.87712025040534,-0.754240500810681,-0.680235491759484,0.0723424546387879,0.268965526859462,15.751735985204,9.70777738424254,0.286138049515446
"71","N/P addition","% Gill breather",9,0.859928035323865,-0.719856070647729,-0.20828042771379,1.71337401123382e-07,0.000413929222359791,4.79307242957354e-05,7.94111303542244,0.439243465376817
"72","N/P addition","Gils/Tegument (ratio)",9,0.860457629636016,-0.720915259272032,-0.21824153444929,5.50941964920028e-06,0.00234721529672936,0.00154192243079611,7.76959698582017,0.456294229957059
"73","N/P addition","Non EPT fast flow (adapt., rel. abd.)",9,0.837106579522234,-0.674213159044467,-0.545860372584222,0.0505990691399037,0.224942368485583,11.9511508112209,9.37092739045362,0.311977357606805
"74","N/P addition","% Scraper",9,0.517164234497152,-0.0343284689943044,-0.0662425753768297,0.0591876569745548,0.243285135128628,14.1646853739271,10.0065775655305,0.264564559674134
"75","N/P addition","Slow flow adapt. (rel. abundance)",9,0.12287974959466,0.75424050081068,0.680235491759485,0.072342454638792,0.268965526859469,15.7517359852047,9.7077773842426,0.286138049515442
"76","N/P addition","Tot. richness",9,0.309187763982236,0.381624472035529,0.218874136181306,0,0,0,7.35861147296429,0.498480951973639
"77","N/P addition","Tagument (rel. abundance)",9,0.150825397019547,0.698349205960905,0.229182106638015,4.37981459699858e-06,0.00209280065868648,0.00122416583580972,7.84065822162409,0.449188047678797
"78","N/P addition","Tot. abundance",9,0.405082953358294,0.189834093283411,0.0850157945781506,2.87113911482117e-06,0.00169444360036596,0.000802076972799087,8.78741562510116,0.36054563308813
"79","Flow reduction
× N/P addition","EPT (abundance)",5,0.742086267794866,-0.484172535589732,-0.487262150100511,0.743095880726042,0.862030092703289,64.2417259473436,11.046355537685,0.0260479522119258
"80","Flow reduction
× N/P addition","% EPT",5,0.731091522298679,-0.462183044597358,-0.456048134729262,0.862950902968006,0.928951507328561,67.1850883370205,11.6393193893708,0.0202449454860188
"81","Flow reduction
× N/P addition","EPT (number taxa)",5,0.71118295845755,-0.4223659169151,-0.21273688302704,0,0,0,2.58212058955362,0.629993628243111
"82","Flow reduction
× N/P addition","Fast/Slow flow (adapt., ratio)",5,0.860796627273962,-0.721593254547923,-1.21520964127915,3.28695546901088,1.81299626833893,85.4590043797595,23.15751289791,0.000117773525392613
"83","Flow reduction
× N/P addition","% Lotic",5,0.858906583183903,-0.717813166367806,-1.19934233622149,3.23163638272619,1.79767527176801,85.3055025105321,23.0184139741547,0.000125558087869001
"84","Flow reduction
× N/P addition","% Gill breather",5,0.490573741367073,0.0188525172658548,0.0487277552338157,1.78353741603538,1.33549145112778,79.5034086733571,15.6592788592815,0.00351215576998006
"85","Flow reduction
× N/P addition","Gils/Tegument (ratio)",5,0.544049395835073,-0.0880987916701461,-0.0354988791929553,1.59376731075048,1.26244497335547,77.9914076267182,14.7533571496892,0.00524108316900392
"86","Flow reduction
× N/P addition","Non EPT fast flow (adapt., rel. abd.)",5,0.840083446638082,-0.680166893276164,-0.801728524929595,1.14420130614785,1.06967345771869,71.3468468807579,13.7016846465998,0.00831061641863936
"87","Flow reduction
× N/P addition","% Scraper",5,0.104283073148762,0.791433853702476,0.608100007223749,0.962912935419619,0.981281272326961,69.0421096133591,11.2474545178897,0.0239193142835614
"88","Flow reduction
× N/P addition","Slow flow adapt. (rel. abundance)",5,0.141093416816097,0.717813166367806,1.19934233622149,3.2316363827262,1.79767527176801,85.3055025105322,23.0184139741547,0.000125558087869
"89","Flow reduction
× N/P addition","Tot. richness",5,0.86986134082928,-0.73972268165856,-0.524037540677684,0.142527238051115,0.377527797719738,27.3460070700982,5.37027295571024,0.25137010176519
"90","Flow reduction
× N/P addition","Tagument (rel. abundance)",5,0.493911487572634,0.0121770248547315,-0.0114547706480335,1.71853383221368,1.3109286144614,79.0478331446816,15.2765222804044,0.00416075040748426
"91","Flow reduction
× N/P addition","Tot. abundance",5,0.719186558503378,-0.438373117006756,-0.310194189065609,0.0464541759901197,0.215532308460054,11.3410410821983,4.487028299243,0.344088360213741
